outcome,min_cell_per_group,eligible_strata,total_strata,missing_total,present_total,missing_in_common_support,present_in_common_support,missing_coverage,present_coverage,overlap_weight_sum,weighted_missing_mean,weighted_present_mean,adjusted_difference_missing_minus_present,model,scheme,strata
tal_preconflict_total,20,87,506,8849,17737,5566,15078,0.6289976268504915,0.8500873879461014,3364.8142473101375,8.731879614395936,8.765156857834597,-0.03327724343866123,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_total,20,87,506,8849,17737,5566,15078,0.6289976268504915,0.8500873879461014,3364.8142473101375,7.752658370441882,8.29130757075001,-0.5386492003081287,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
zero_final_positive,20,87,506,8849,17737,5566,15078,0.6289976268504915,0.8500873879461014,3364.8142473101375,0.008457144584800106,0.0012268712356819052,0.0072302733491182,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
conflict_loss_fraction,20,87,506,8849,17737,5566,15078,0.6289976268504915,0.8500873879461014,3364.8142473101375,0.11836611197281373,0.058851117192613205,0.059514994780200524,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
target_weight_mean,20,87,506,8849,17737,5566,15078,0.6289976268504915,0.8500873879461014,3364.8142473101375,0.321783942686933,0.5038008965822667,-0.18201695389533368,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
target_weight_max,20,87,506,8849,17737,5566,15078,0.6289976268504915,0.8500873879461014,3364.8142473101375,0.6375102411513859,0.834833242513627,-0.19732300136224112,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
p2_final_share,20,87,506,8849,17737,5566,15078,0.6289976268504915,0.8500873879461014,3364.8142473101375,0.7893491938714008,0.7774757893860781,0.011873404485322703,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
in_gt_P2,20,87,506,8849,17737,5566,15078,0.6289976268504915,0.8500873879461014,3364.8142473101375,12.653714746630028,13.771278006194365,-1.1175632595643368,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_preconflict_P2,20,87,506,8849,17737,5566,15078,0.6289976268504915,0.8500873879461014,3364.8142473101375,6.979369097491028,6.831526194594522,0.1478429028965058,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_P2,20,87,506,8849,17737,5566,15078,0.6289976268504915,0.8500873879461014,3364.8142473101375,6.208335411510792,6.487477008763021,-0.2791415972522291,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
