model,class,size_bin,density_bin,raw075_group,n,best_raw_iou,best_raw_iou_P2,in_gt_total,in_gt_cap10,zero_in_gt,tal_preconflict_total,tal_final_total,zero_final_positive,conflict_loss_fraction,target_weight_mean,target_weight_max,p2_final_share,in_gt_P2,tal_preconflict_P2,tal_final_P2,in_gt_P3,tal_preconflict_P3,tal_final_P3,in_gt_P4,tal_preconflict_P4,tal_final_P4,in_gt_P5,tal_preconflict_P5,tal_final_P5
E10a,bicycle,8-16,middle,missing,86,0.6071276006310485,0.5978911120531171,8.313953488372093,7.686046511627907,0.0,7.604651162790698,6.267441860465116,0.0,0.1695736434108527,0.273372926944217,0.5764973719799241,0.7512550756736802,6.337209302325581,5.813953488372093,4.674418604651163,1.4534883720930232,1.3255813953488371,1.197674418604651,0.4186046511627907,0.36046511627906974,0.3023255813953488,0.10465116279069768,0.10465116279069768,0.09302325581395349
E10a,bicycle,8-16,middle,present,59,0.8108074109433061,0.7985520615416059,10.389830508474576,8.372881355932204,0.0,8.322033898305085,7.491525423728813,0.0,0.09466639763249933,0.39749553976422647,0.8027883071010395,0.6975114339521119,7.711864406779661,6.0,5.254237288135593,2.016949152542373,1.7796610169491525,1.7118644067796611,0.5254237288135594,0.4745762711864407,0.4576271186440678,0.13559322033898305,0.06779661016949153,0.06779661016949153
E10a,bicycle,8-16,sparse,missing,19,0.6422337732816997,0.6385748417753923,9.31578947368421,8.157894736842104,0.0,8.157894736842104,8.157894736842104,0.0,0.0,0.2778901089178888,0.6336929029540012,0.8033834586466165,7.052631578947368,6.421052631578948,6.421052631578948,1.631578947368421,1.2105263157894737,1.2105263157894737,0.5789473684210527,0.5263157894736842,0.5263157894736842,0.05263157894736842,0.0,0.0
E10a,bicycle,8-16,sparse,present,12,0.828502838810285,0.8219981789588928,9.333333333333334,8.0,0.0,8.0,8.0,0.0,0.0,0.47816096246242523,0.8268487105766932,0.7666666666666666,6.75,6.0,6.0,2.1666666666666665,1.8333333333333333,1.8333333333333333,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
E10a,bus,0-8,dense,missing,2,0.6998379230499268,0.6765668094158173,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.3346574753522873,0.6934779286384583,0.6666666666666666,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E10a,bus,0-8,middle,missing,4,0.570166826248169,0.5669255778193474,3.0,3.0,0.0,2.75,2.75,0.0,0.0,0.30612266436219215,0.5558181181550026,0.6041666666666666,2.0,1.75,1.75,0.75,0.75,0.75,0.25,0.25,0.25,0.0,0.0,0.0
E10a,bus,0-8,middle,present,3,0.8183170954386393,0.8183170954386393,5.0,5.0,0.0,4.666666666666667,4.666666666666667,0.0,0.0,0.3165021340052286,0.8168118000030518,0.7222222222222222,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
E10a,bus,16-24,dense,missing,1,0.5908471941947937,0.5908471941947937,23.0,10.0,0.0,10.0,10.0,0.0,0.0,0.193303570151329,0.5721268653869629,0.7,18.0,7.0,7.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
E10a,bus,16-24,middle,missing,12,0.6064107616742452,0.5572185143828392,17.583333333333332,10.0,0.0,10.0,9.916666666666666,0.0,0.008333333333333333,0.1757092407594124,0.5960632736484209,0.6972222222222223,13.166666666666666,7.0,6.916666666666667,3.4166666666666665,2.25,2.25,0.75,0.6666666666666666,0.6666666666666666,0.25,0.08333333333333333,0.08333333333333333
E10a,bus,16-24,middle,present,18,0.8638058371014066,0.8526437116993798,24.944444444444443,10.0,0.0,10.0,10.0,0.0,0.0,0.5269278279609151,0.853483474916882,0.7,19.166666666666668,7.0,7.0,4.5,2.7777777777777777,2.7777777777777777,1.0555555555555556,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0
E10a,bus,16-24,sparse,missing,2,0.647707462310791,0.6214615702629089,49.5,10.0,0.0,10.0,10.0,0.0,0.0,0.2068238407373428,0.63539057970047,0.65,37.5,6.5,6.5,8.5,2.5,2.5,3.5,1.0,1.0,0.0,0.0,0.0
E10a,bus,16-24,sparse,present,12,0.8813094149033228,0.8323618421951929,33.083333333333336,10.0,0.0,10.0,10.0,0.0,0.0,0.5050201242168745,0.8640488485495249,0.6083333333333333,25.083333333333332,6.083333333333333,6.083333333333333,6.5,3.5,3.5,1.4166666666666667,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.0,0.0
E10a,bus,24-32,middle,missing,2,0.7012675404548645,0.6050380170345306,41.0,10.0,0.0,10.0,10.0,0.0,0.0,0.34125611186027527,0.6955739259719849,0.6499999999999999,35.0,6.5,6.5,4.0,2.5,2.5,2.0,1.0,1.0,0.0,0.0,0.0
E10a,bus,24-32,middle,present,21,0.8940811810039339,0.8557892612048558,37.666666666666664,10.0,0.0,10.0,10.0,0.0,0.0,0.6328159194617045,0.8828931422460646,0.5619047619047619,28.571428571428573,5.619047619047619,5.619047619047619,7.238095238095238,3.9047619047619047,3.9047619047619047,1.5714285714285714,0.47619047619047616,0.47619047619047616,0.2857142857142857,0.0,0.0
E10a,bus,24-32,sparse,missing,1,0.6431138515472412,0.4434134364128113,32.0,10.0,0.0,10.0,10.0,0.0,0.0,0.1397222727537155,0.6407634615898132,0.6,24.0,6.0,6.0,6.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0
E10a,bus,24-32,sparse,present,10,0.8851260840892792,0.8133730590343475,58.2,10.0,0.0,10.0,10.0,0.0,0.0,0.5983206391334533,0.872447407245636,0.27,43.2,2.7,2.7,11.9,5.7,5.7,2.3,1.6,1.6,0.8,0.0,0.0
E10a,bus,8-16,dense,missing,2,0.5902961492538452,0.5886830538511276,10.5,9.0,0.0,8.5,8.5,0.0,0.0,0.1554070524871349,0.5832203477621078,0.8785714285714286,9.0,7.5,7.5,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
E10a,bus,8-16,middle,missing,17,0.5690279164735008,0.5523398974362541,7.411764705882353,7.352941176470588,0.0,7.0,6.9411764705882355,0.0,0.008403361344537811,0.18757486168076004,0.5515322965734145,0.7449579831932773,5.705882352941177,5.294117647058823,5.294117647058823,1.3529411764705883,1.3529411764705883,1.2941176470588236,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.0,0.0,0.0
E10a,bus,8-16,middle,present,6,0.7972186307112376,0.7799260516961416,8.833333333333334,8.333333333333334,0.0,8.333333333333334,8.333333333333334,0.0,0.0,0.37246129910151166,0.7949449221293131,0.7333333333333334,6.833333333333333,6.333333333333333,6.333333333333333,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
