model,match_type,scale,metric,n,mean,std,median,p25,p75,p90,min,max
A,oracle_best_same_class_nonexclusive,small,abs_log_w_ratio,26520,0.23245667577753548,0.34843270704445395,0.1192204470389103,0.050918079768234564,0.2505321253962429,0.5288382355368344,2.050318782325911e-05,3.358390365304579
A,oracle_best_same_class_nonexclusive,small,abs_log_h_ratio,26520,0.19333173513038712,0.32184327132858465,0.09233655584490738,0.0398792568290724,0.19042781316529095,0.4167071329532652,1.7476117827693818e-06,3.213979819391155
A,oracle_best_same_class_nonexclusive,small,log_w_ratio,26520,0.1417861385933852,0.3941296085739384,0.054828096531598,-0.046266511820611075,0.20013316681832594,0.4944483842684187,-1.6807936507690653,3.358390365304579
A,oracle_best_same_class_nonexclusive,small,log_h_ratio,26520,0.11639691204970055,0.3569481894803577,0.03311581765392485,-0.047646088662492043,0.14712774661030426,0.39185648265251244,-2.429742498647731,3.213979819391155
A,oracle_best_same_class_nonexclusive,small,abs_left_error_over_w,26520,4.073022952664615,16.99450601663665,0.07754712498071831,0.032265287638554636,0.18625682004637675,4.452786234144547,0.0,335.37901456767895
A,oracle_best_same_class_nonexclusive,small,abs_right_error_over_w,26520,4.086806371295455,17.001924672993646,0.08234425540989473,0.03352525546598257,0.20407124821028777,4.389323598507039,0.0,333.22408726731794
A,oracle_best_same_class_nonexclusive,small,abs_top_error_over_h,26520,1.8536387089984327,7.472731532320527,0.05868230116913942,0.023435579546808215,0.15049918162373968,1.8919389319211395,0.0,166.43981698752427
A,oracle_best_same_class_nonexclusive,small,abs_bottom_error_over_h,26520,2.060785102344994,8.32484415697301,0.06407487967637543,0.02686344458537706,0.15944857102101645,2.121231968547578,0.0,187.49139414797378
A,oracle_best_same_class_nonexclusive,small,left_error_over_w,26520,0.26852502695571484,17.47371297212846,-0.0030145565337419576,-0.08943582443466776,0.06841886056316741,0.19429329111295018,-335.37901456767895,323.2222733145863
A,oracle_best_same_class_nonexclusive,small,right_error_over_w,26520,0.5668224017433289,17.477017516369692,0.03193404106583726,-0.036050972819532096,0.12891724546943584,0.3794829532984309,-323.92437689445245,333.22408726731794
A,oracle_best_same_class_nonexclusive,small,top_error_over_h,26520,1.5779131175720988,7.535773564208838,0.0024570125147832973,-0.05242766747285574,0.0664770102769148,0.5798541409998295,-57.190755733487464,166.43981698752427
A,oracle_best_same_class_nonexclusive,small,bottom_error_over_h,26520,1.8201180403463062,8.380753891813114,0.021101974976202684,-0.034289466291279165,0.10620089181339509,0.872048583102102,-57.00764593406233,187.49139414797378
