model,iou,class,n,top500_survival_rate,failed,raw_geometry_missing,raw_geometry_missing_rate_all,raw_geometry_missing_share_failed,confidence_floor,confidence_floor_rate_all,confidence_floor_share_failed,class_argmax_confusion,class_argmax_confusion_rate_all,class_argmax_confusion_share_failed,nms_suppression,nms_suppression_rate_all,nms_suppression_share_failed,rank_budget_501_1000,rank_budget_501_1000_rate_all,rank_budget_501_1000_share_failed,survives_top500,survives_top500_rate_all,survives_top500_share_failed,class_selection_share_failed
E16a,0.5,van,937,0.439701173959445,525,22,0.023479188900747065,0.0419047619047619,29,0.030949839914621132,0.05523809523809524,463,0.49413020277481323,0.8819047619047619,7,0.007470651013874066,0.013333333333333334,4,0.004268943436499467,0.007619047619047619,412,0.439701173959445,0.7847619047619048,0.9371428571428572
E16a,0.75,awning-tricycle,305,0.23934426229508196,232,99,0.32459016393442625,0.4267241379310345,28,0.09180327868852459,0.1206896551724138,86,0.2819672131147541,0.3706896551724138,18,0.05901639344262295,0.07758620689655173,1,0.003278688524590164,0.004310344827586207,73,0.23934426229508196,0.3146551724137931,0.49137931034482757
E16a,0.75,bicycle,1053,0.25925925925925924,780,464,0.4406457739791073,0.5948717948717949,40,0.03798670465337132,0.05128205128205128,126,0.11965811965811966,0.16153846153846155,119,0.11301044634377967,0.15256410256410258,31,0.029439696106362774,0.03974358974358974,273,0.25925925925925924,0.35,0.2128205128205128
E16a,0.75,bus,116,0.4051724137931034,69,42,0.3620689655172414,0.6086956521739131,5,0.04310344827586207,0.07246376811594203,19,0.16379310344827586,0.2753623188405797,1,0.008620689655172414,0.014492753623188406,2,0.017241379310344827,0.028985507246376812,47,0.4051724137931034,0.6811594202898551,0.34782608695652173
E16a,0.75,car,6910,0.6567293777134587,2372,1471,0.21287988422575976,0.6201517706576728,158,0.022865412445730825,0.06661045531197302,81,0.011722141823444283,0.03414839797639123,608,0.08798842257597685,0.2563237774030354,54,0.007814761215629523,0.022765598650927487,4538,0.6567293777134587,1.9131534569983137,0.10075885328836424
E16a,0.75,motor,3978,0.4384112619406737,2234,1321,0.3320764203117144,0.5913160250671441,89,0.02237305178481649,0.03983885407341092,221,0.05555555555555555,0.09892569382273948,551,0.13851181498240323,0.2466427931960609,52,0.013071895424836602,0.023276633840644583,1744,0.4384112619406737,0.7806624888093107,0.1387645478961504
E16a,0.75,pedestrian,7746,0.41169635941130905,4557,2918,0.37671056028918154,0.640333552775949,185,0.023883294603666408,0.04059688391485627,368,0.047508391427833724,0.08075488259820057,965,0.12458042860831396,0.2117621242045205,121,0.015620965659695327,0.026552556506473556,3189,0.41169635941130905,0.6998025016458196,0.12135176651305683
E16a,0.75,people,4631,0.33383718419347874,3085,2064,0.44569207514575687,0.6690437601296596,115,0.02483264953573742,0.03727714748784441,230,0.04966529907147484,0.07455429497568881,586,0.12653854459080113,0.1899513776337115,90,0.019434247462751027,0.029173419773095625,1546,0.33383718419347874,0.5011345218800648,0.11183144246353323
E16a,0.75,tricycle,621,0.33494363929146537,413,179,0.2882447665056361,0.43341404358353514,51,0.0821256038647343,0.1234866828087167,114,0.18357487922705315,0.27602905569007263,55,0.08856682769726248,0.13317191283292978,14,0.02254428341384863,0.03389830508474576,208,0.33494363929146537,0.5036319612590799,0.39951573849878935
E16a,0.75,truck,289,0.28719723183391005,206,88,0.3044982698961938,0.42718446601941745,21,0.0726643598615917,0.10194174757281553,78,0.2698961937716263,0.3786407766990291,19,0.0657439446366782,0.09223300970873786,0,0.0,0.0,83,0.28719723183391005,0.4029126213592233,0.48058252427184467
