model,class,iou,n,matched500,match500_rate,sameclass_oracle1000_rate,anyclass_oracle1000_rate,unmatched,rank_budget,class_confusion,competition,coverage_localization,best_valid_sameclass_rank_mean,best_valid_sameclass_rank_p50,best_valid_sameclass_rank_p90,best_valid_sameclass_score_mean,matched500_score_mean,rank_budget_501_1000_share_of_unmatched,class_confusion_share_of_unmatched,competition_within_top500_share_of_unmatched,coverage_localization_share_of_unmatched
E1,truck,0.75,289,87,0.30103806228373703,0.3079584775086505,0.5709342560553633,202,2,76,0,124,87.29213483146067,52.0,179.4,0.35565873343246374,0.3637188478886824,0.009900990099009901,0.37623762376237624,0.0,0.6138613861386139
E1,van,0.75,937,310,0.33084311632870866,0.33511205976520814,0.6926360725720384,627,4,335,0,288,69.88535031847134,43.0,141.09999999999997,0.5131680640120617,0.5196607165879781,0.006379585326953748,0.5342902711323764,0.0,0.45933014354066987
E5a,awning-tricycle,0.5,305,130,0.4262295081967213,0.45901639344262296,0.9278688524590164,175,10,143,0,22,165.36428571428573,85.5,443.60000000000014,0.26711498261179906,0.2873368763561862,0.05714285714285714,0.8171428571428572,0.0,0.12571428571428572
E5a,bicycle,0.5,1053,630,0.5982905982905983,0.6733143399810066,0.8613485280151947,423,76,198,3,146,206.44992947813822,120.0,521.0,0.23674491611989124,0.26000247019276557,0.17966903073286053,0.46808510638297873,0.0070921985815602835,0.34515366430260047
E5a,bus,0.5,116,60,0.5172413793103449,0.5344827586206896,0.896551724137931,56,2,42,0,12,99.59677419354838,44.0,226.49999999999994,0.4571418298686284,0.4717816289048642,0.03571428571428571,0.75,0.0,0.21428571428571427
E5a,car,0.5,6910,6419,0.9289435600578871,0.9418234442836468,0.9542691751085384,491,83,86,6,316,69.26705593116165,37.0,148.0,0.538968308583079,0.5448757212056157,0.1690427698574338,0.17515274949083504,0.012219959266802444,0.6435845213849287
E5a,motor,0.5,3978,3381,0.8499245852187028,0.8675213675213675,0.947209653092006,597,61,317,9,210,93.00550565053608,57.0,196.0,0.390693141750722,0.3960671801313483,0.10217755443886097,0.5309882747068677,0.01507537688442211,0.35175879396984927
E5a,pedestrian,0.5,7746,6191,0.7992512264394526,0.8372063000258197,0.9042086238058352,1555,247,519,47,742,117.01881264456438,63.0,280.0,0.40163185738582513,0.4128877902640592,0.15884244372990353,0.3337620578778135,0.03022508038585209,0.47717041800643084
E5a,people,0.5,4631,3280,0.7082703519758151,0.7510256963938674,0.875404880155474,1351,164,576,34,577,121.24669350201265,62.0,300.3000000000002,0.35745693040703613,0.3661283842122563,0.12139156180606958,0.42635085122131755,0.025166543301258327,0.42709104367135453
E5a,tricycle,0.5,621,371,0.5974235104669887,0.6280193236714976,0.9178743961352657,250,18,180,1,51,142.09230769230768,77.0,384.20000000000005,0.30982847030017857,0.3237824293300309,0.072,0.72,0.004,0.204
E5a,truck,0.5,289,140,0.4844290657439446,0.5086505190311419,0.9273356401384083,149,7,121,0,21,112.07482993197279,48.0,380.40000000000003,0.33333635134115613,0.3455639169019248,0.04697986577181208,0.8120805369127517,0.0,0.14093959731543623
E5a,van,0.5,937,409,0.43649946638207043,0.44823906083244397,0.9647812166488794,528,9,484,2,33,79.22380952380952,46.0,146.0,0.4834303694103645,0.4902029322286098,0.017045454545454544,0.9166666666666666,0.003787878787878788,0.0625
E5a,awning-tricycle,0.75,305,84,0.2754098360655738,0.28524590163934427,0.5606557377049181,221,3,84,0,134,122.1264367816092,63.0,292.20000000000005,0.32288032085179813,0.3342635109632586,0.013574660633484163,0.38009049773755654,0.0,0.6063348416289592
E5a,bicycle,0.75,1053,261,0.24786324786324787,0.27825261158594494,0.39886039886039887,792,31,127,1,633,204.45392491467578,112.0,556.0,0.27725896947069967,0.3077481233887731,0.039141414141414144,0.16035353535353536,0.0012626262626262627,0.7992424242424242
E5a,bus,0.75,116,45,0.3879310344827586,0.39655172413793105,0.5172413793103449,71,1,14,0,56,61.41304347826087,30.0,96.5,0.5430666861053475,0.5550585816303889,0.014084507042253521,0.19718309859154928,0.0,0.7887323943661971
E5a,car,0.75,6910,4535,0.6562952243125905,0.6658465991316932,0.6795947901591896,2375,65,95,1,2214,59.26646381221474,30.0,116.0,0.5991225479354576,0.6074159880548659,0.02736842105263158,0.04,0.0004210526315789474,0.9322105263157895
E5a,motor,0.75,3978,1698,0.42684766214177977,0.44017094017094016,0.5098039215686274,2280,53,277,0,1950,98.0451170759566,52.0,233.0,0.4204017157514932,0.4332322253178129,0.02324561403508772,0.12149122807017544,0.0,0.8552631578947368
E5a,pedestrian,0.75,7746,3175,0.4098889749548154,0.42589723728375933,0.4686289697908598,4571,118,331,6,4116,104.44043649590785,52.0,252.20000000000027,0.45911419246696944,0.47558885203164775,0.025814920148763947,0.07241303872238022,0.0013126230584117262,0.900459418070444
E5a,people,0.75,4631,1498,0.32347225221334486,0.3452817965882099,0.39991362556683224,3133,95,253,6,2779,129.7942464040025,61.0,351.60000000000014,0.3612026350388217,0.38270134225631325,0.03032237472071497,0.08075327162464092,0.001915097350781998,0.8870092563038621
